"RecordNo";"company";"pos"
1135;"Maœlak";"Aided"
1135;"Go³¹bek";"Aided"
1135;"KoŸlarz";"Aided"
1135;"Nie znam ¿adnych";"Aided"
1135;"Borowik";"Aided"
1135;"Czubajka";"Aided"
1135;"Podgrzybek";"Aided"
1135;"Opieñka";"Aided"
1135;"G¹ska";"Not mentioned"
1135;"Inna_2";"Aided"
1135;"Inna_1";"Aided"
1135;"Inna_8";"Aided"
1135;"Inna_6";"Aided"
1135;"Inna_9";"Aided"
1135;"Inna_4";"Aided"
1135;"Inna_3";"Aided"
1135;"Inna_7";"Aided"
1135;"Inna_5";"Aided"
1135;"Boczniak";"Aided"
1135;"Pieczarka";"Not mentioned"
1150;"Maœlak";"Not mentioned"
1150;"Go³¹bek";"Top of Mind"
1150;"KoŸlarz";"Unaided"
1150;"Nie znam ¿adnych";"Aided"
1150;"Borowik";"Not mentioned"
1150;"Czubajka";"Not mentioned"
1150;"Podgrzybek";"Not mentioned"
1150;"Opieñka";"Aided"
1150;"G¹ska";"Not mentioned"
1150;"Inna_2";"Aided"
1150;"Inna_1";"Aided"
1150;"Inna_8";"Aided"
1150;"Inna_6";"Aided"
1150;"Inna_9";"Aided"
1150;"Inna_4";"Aided"
1150;"Inna_3";"Aided"
1150;"Inna_7";"Aided"
1150;"Inna_5";"Aided"
1150;"Boczniak";"Aided"
1150;"Pieczarka";"Aided"
1151;"Maœlak";"Not mentioned"
1151;"Go³¹bek";"Not mentioned"
1151;"KoŸlarz";"Aided"
1151;"Nie znam ¿adnych";"Aided"
1151;"Borowik";"Not mentioned"
1151;"Czubajka";"Not mentioned"
1151;"Podgrzybek";"Not mentioned"
1151;"Opieñka";"Not mentioned"
1151;"G¹ska";"Not mentioned"
1151;"Inna_2";"Aided"
1151;"Inna_1";"Aided"
1151;"Inna_8";"Aided"
1151;"Inna_6";"Aided"
1151;"Inna_9";"Aided"
1151;"Inna_4";"Aided"
1151;"Inna_3";"Aided"
1151;"Inna_7";"Aided"
1151;"Inna_5";"Aided"
1151;"Boczniak";"Not mentioned"
1151;"Pieczarka";"Aided"
1154;"Maœlak";"Aided"
1154;"Go³¹bek";"Aided"
1154;"KoŸlarz";"Aided"
1154;"Nie znam ¿adnych";"Aided"
1154;"Borowik";"Aided"
1154;"Czubajka";"Aided"
1154;"Podgrzybek";"Aided"
1154;"Opieñka";"Aided"
1154;"G¹ska";"Aided"
1154;"Inna_2";"Aided"
1154;"Inna_1";"Aided"
1154;"Inna_8";"Aided"
1154;"Inna_6";"Aided"
1154;"Inna_9";"Aided"
1154;"Inna_4";"Aided"
1154;"Inna_3";"Aided"
1154;"Inna_7";"Aided"
1154;"Inna_5";"Aided"
1154;"Boczniak";"Aided"
1154;"Pieczarka";"Aided"
1159;"Maœlak";"Aided"
1159;"Go³¹bek";"Aided"
1159;"KoŸlarz";"Aided"
1159;"Nie znam ¿adnych";"Aided"
1159;"Borowik";"Aided"
1159;"Czubajka";"Aided"
1159;"Podgrzybek";"Aided"
1159;"Opieñka";"Aided"
1159;"G¹ska";"Not mentioned"
1159;"Inna_2";"Aided"
1159;"Inna_1";"Aided"
1159;"Inna_8";"Aided"
1159;"Inna_6";"Aided"
1159;"Inna_9";"Aided"
1159;"Inna_4";"Aided"
1159;"Inna_3";"Aided"
1159;"Inna_7";"Aided"
1159;"Inna_5";"Aided"
1159;"Boczniak";"Aided"
1159;"Pieczarka";"Not mentioned"
1167;"Maœlak";"Not mentioned"
1167;"Go³¹bek";"Top of Mind"
1167;"KoŸlarz";"Not mentioned"
1167;"Nie znam ¿adnych";"Aided"
1167;"Borowik";"Unaided"
1167;"Czubajka";"Unaided"
1167;"Podgrzybek";"Not mentioned"
1167;"Opieñka";"Not mentioned"
1167;"G¹ska";"Not mentioned"
1167;"Inna_2";"Aided"
1167;"Inna_1";"Aided"
1167;"Inna_8";"Aided"
1167;"Inna_6";"Aided"
1167;"Inna_9";"Aided"
1167;"Inna_4";"Aided"
1167;"Inna_3";"Aided"
1167;"Inna_7";"Aided"
1167;"Inna_5";"Aided"
1167;"Boczniak";"Aided"
1167;"Pieczarka";"Aided"
1177;"Maœlak";"Not mentioned"
1177;"Go³¹bek";"Top of Mind"
1177;"KoŸlarz";"Unaided"
1177;"Nie znam ¿adnych";"Aided"
1177;"Borowik";"Aided"
1177;"Czubajka";"Aided"
1177;"Podgrzybek";"Not mentioned"
1177;"Opieñka";"Not mentioned"
1177;"G¹ska";"Not mentioned"
1177;"Inna_2";"Aided"
1177;"Inna_1";"Aided"
1177;"Inna_8";"Aided"
1177;"Inna_6";"Aided"
1177;"Inna_9";"Aided"
1177;"Inna_4";"Aided"
1177;"Inna_3";"Aided"
1177;"Inna_7";"Aided"
1177;"Inna_5";"Aided"
1177;"Boczniak";"Aided"
1177;"Pieczarka";"Not mentioned"
1187;"Maœlak";"Not mentioned"
1187;"Go³¹bek";"Aided"
1187;"KoŸlarz";"Aided"
1187;"Nie znam ¿adnych";"Aided"
1187;"Borowik";"Aided"
1187;"Czubajka";"Aided"
1187;"Podgrzybek";"Aided"
1187;"Opieñka";"Not mentioned"
1187;"G¹ska";"Not mentioned"
1187;"Inna_2";"Aided"
1187;"Inna_1";"Aided"
1187;"Inna_8";"Aided"
1187;"Inna_6";"Aided"
1187;"Inna_9";"Aided"
1187;"Inna_4";"Aided"
1187;"Inna_3";"Aided"
1187;"Inna_7";"Aided"
1187;"Inna_5";"Aided"
1187;"Boczniak";"Aided"
1187;"Pieczarka";"Aided"
1191;"Maœlak";"Not mentioned"
1191;"Go³¹bek";"Not mentioned"
1191;"KoŸlarz";"Not mentioned"
1191;"Nie znam ¿adnych";"Aided"
1191;"Borowik";"Not mentioned"
1191;"Czubajka";"Not mentioned"
1191;"Podgrzybek";"Not mentioned"
1191;"Opieñka";"Not mentioned"
1191;"G¹ska";"Not mentioned"
1191;"Inna_2";"Aided"
1191;"Inna_1";"Aided"
1191;"Inna_8";"Aided"
1191;"Inna_6";"Aided"
1191;"Inna_9";"Aided"
1191;"Inna_4";"Aided"
1191;"Inna_3";"Aided"
1191;"Inna_7";"Aided"
1191;"Inna_5";"Aided"
1191;"Boczniak";"Aided"
1191;"Pieczarka";"Aided"
1218;"Maœlak";"Aided"
1218;"Go³¹bek";"Aided"
1218;"KoŸlarz";"Not mentioned"
1218;"Nie znam ¿adnych";"Aided"
1218;"Borowik";"Not mentioned"
1218;"Czubajka";"Not mentioned"
1218;"Podgrzybek";"Not mentioned"
1218;"Opieñka";"Not mentioned"
1218;"G¹ska";"Not mentioned"
1218;"Inna_2";"Aided"
1218;"Inna_1";"Aided"
1218;"Inna_8";"Aided"
1218;"Inna_6";"Aided"
1218;"Inna_9";"Aided"
1218;"Inna_4";"Aided"
1218;"Inna_3";"Aided"
1218;"Inna_7";"Aided"
1218;"Inna_5";"Aided"
1218;"Boczniak";"Aided"
1218;"Pieczarka";"Aided"
1230;"Maœlak";"Aided"
1230;"Go³¹bek";"Aided"
1230;"KoŸlarz";"Aided"
1230;"Nie znam ¿adnych";"Aided"
1230;"Borowik";"Aided"
1230;"Czubajka";"Aided"
1230;"Podgrzybek";"Aided"
1230;"Opieñka";"Aided"
1230;"G¹ska";"Aided"
1230;"Inna_2";"Aided"
1230;"Inna_1";"Aided"
1230;"Inna_8";"Aided"
1230;"Inna_6";"Aided"
1230;"Inna_9";"Aided"
1230;"Inna_4";"Aided"
1230;"Inna_3";"Aided"
1230;"Inna_7";"Aided"
1230;"Inna_5";"Aided"
1230;"Boczniak";"Aided"
1230;"Pieczarka";"Aided"
1234;"Maœlak";"Not mentioned"
1234;"Go³¹bek";"Aided"
1234;"KoŸlarz";"Unaided"
1234;"Nie znam ¿adnych";"Aided"
1234;"Borowik";"Aided"
1234;"Czubajka";"Not mentioned"
1234;"Podgrzybek";"Not mentioned"
1234;"Opieñka";"Not mentioned"
1234;"G¹ska";"Unaided"
1234;"Inna_2";"Aided"
1234;"Inna_1";"Aided"
1234;"Inna_8";"Aided"
1234;"Inna_6";"Aided"
1234;"Inna_9";"Aided"
1234;"Inna_4";"Aided"
1234;"Inna_3";"Aided"
1234;"Inna_7";"Aided"
1234;"Inna_5";"Aided"
1234;"Boczniak";"Aided"
1234;"Pieczarka";"Aided"
1242;"Maœlak";"Aided"
1242;"Go³¹bek";"Aided"
1242;"KoŸlarz";"Aided"
1242;"Nie znam ¿adnych";"Aided"
1242;"Borowik";"Aided"
1242;"Czubajka";"Aided"
1242;"Podgrzybek";"Aided"
1242;"Opieñka";"Aided"
1242;"G¹ska";"Aided"
1242;"Inna_2";"Aided"
1242;"Inna_1";"Aided"
1242;"Inna_8";"Aided"
1242;"Inna_6";"Aided"
1242;"Inna_9";"Aided"
1242;"Inna_4";"Aided"
1242;"Inna_3";"Aided"
1242;"Inna_7";"Aided"
1242;"Inna_5";"Aided"
1242;"Boczniak";"Aided"
1242;"Pieczarka";"Aided"
1253;"Maœlak";"Not mentioned"
1253;"Go³¹bek";"Aided"
1253;"KoŸlarz";"Aided"
1253;"Nie znam ¿adnych";"Aided"
1253;"Borowik";"Unaided"
1253;"Czubajka";"Unaided"
1253;"Podgrzybek";"Aided"
1253;"Opieñka";"Aided"
1253;"G¹ska";"Not mentioned"
1253;"Inna_2";"Aided"
1253;"Inna_1";"Aided"
1253;"Inna_8";"Aided"
1253;"Inna_6";"Aided"
1253;"Inna_9";"Aided"
1253;"Inna_4";"Aided"
1253;"Inna_3";"Aided"
1253;"Inna_7";"Aided"
1253;"Inna_5";"Aided"
1253;"Boczniak";"Aided"
1253;"Pieczarka";"Aided"
1280;"Maœlak";"Aided"
1280;"Go³¹bek";"Aided"
1280;"KoŸlarz";"Not mentioned"
1280;"Nie znam ¿adnych";"Aided"
1280;"Borowik";"Top of Mind"
1280;"Czubajka";"Aided"
1280;"Podgrzybek";"Aided"
1280;"Opieñka";"Aided"
1280;"G¹ska";"Not mentioned"
1280;"Inna_2";"Aided"
1280;"Inna_1";"Aided"
1280;"Inna_8";"Aided"
1280;"Inna_6";"Aided"
1280;"Inna_9";"Aided"
1280;"Inna_4";"Aided"
1280;"Inna_3";"Aided"
1280;"Inna_7";"Aided"
1280;"Inna_5";"Aided"
1280;"Boczniak";"Aided"
1280;"Pieczarka";"Aided"
1301;"Maœlak";"Not mentioned"
1301;"Go³¹bek";"Unaided"
1301;"KoŸlarz";"Top of Mind"
1301;"Nie znam ¿adnych";"Aided"
1301;"Borowik";"Not mentioned"
1301;"Czubajka";"Not mentioned"
1301;"Podgrzybek";"Not mentioned"
1301;"Opieñka";"Not mentioned"
1301;"G¹ska";"Not mentioned"
1301;"Inna_2";"Aided"
1301;"Inna_1";"Aided"
1301;"Inna_8";"Aided"
1301;"Inna_6";"Aided"
1301;"Inna_9";"Aided"
1301;"Inna_4";"Aided"
1301;"Inna_3";"Aided"
1301;"Inna_7";"Aided"
