"RecordNo";"project_id";"mushrooms";"Awareness_score";"Usage_score";"Preference_score";"Familiarity_score";"FutureUsage_score";"Satisfaction_score"
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Maœlak";5;1;4;5;4;1
1135;1;"Maœlak";5;1;5;5;4;1
1135;1;"Go³¹bek";4;1;4;3;4;1
