"RecordNo";"Województwo";"RX2a";"Mushroom";"Recommendation";"Score";"detrac";"neutral";"promo";"Total"
1135;"dolnoslaskie";"100.01 - 300 ha";"Borowik";3;"Detractors";1;0;0;1
1135;"dolnoslaskie";"100.01 - 300 ha";"Czubajka";5;"Detractors";1;0;0;1
1135;"dolnoslaskie";"100.01 - 300 ha";"Gaska";3;"Detractors";1;0;0;1
1135;"dolnoslaskie";"100.01 - 300 ha";"Podgrzybek";9;"Promoters";0;0;1;1
1135;"dolnoslaskie";"100.01 - 300 ha";"Kozlarz";5;"Detractors";1;0;0;1
1135;"dolnoslaskie";"100.01 - 300 ha";"Maslak";10;"Promoters";0;0;1;1
1135;"dolnoslaskie";"100.01 - 300 ha";"Opienka";10;"Promoters";0;0;1;1
1135;"dolnoslaskie";"100.01 - 300 ha";"Golabek";9;"Promoters";0;0;1;1
1135;"dolnoslaskie";"100.01 - 300 ha";"Boczniak";3;"Detractors";1;0;0;1
1135;"dolnoslaskie";"100.01 - 300 ha";"Pieczarka";10;"Promoters";0;0;1;1
1150;"dolnoslaskie";"<= 50 ha";"Borowik";10;"Promoters";0;0;1;1
1150;"dolnoslaskie";"<= 50 ha";"Czubajka";5;"Detractors";1;0;0;1
1150;"dolnoslaskie";"<= 50 ha";"Gaska";7;"Neutrals";0;1;0;1
1150;"dolnoslaskie";"<= 50 ha";"Podgrzybek";0;"Detractors";1;0;0;1
1150;"dolnoslaskie";"<= 50 ha";"Kozlarz";5;"Detractors";1;0;0;1
1150;"dolnoslaskie";"<= 50 ha";"Maslak";4;"Detractors";1;0;0;1
1150;"dolnoslaskie";"<= 50 ha";"Opienka";7;"Neutrals";0;1;0;1
1150;"dolnoslaskie";"<= 50 ha";"Golabek";7;"Neutrals";0;1;0;1
1150;"dolnoslaskie";"<= 50 ha";"Boczniak";8;"Neutrals";0;1;0;1
1150;"dolnoslaskie";"<= 50 ha";"Pieczarka";2;"Detractors";1;0;0;1
1151;"dolnoslaskie";"100.01 - 300 ha";"Borowik";6;"Detractors";1;0;0;1
1151;"dolnoslaskie";"100.01 - 300 ha";"Czubajka";9;"Promoters";0;0;1;1
1151;"dolnoslaskie";"100.01 - 300 ha";"Gaska";4;"Detractors";1;0;0;1
1151;"dolnoslaskie";"100.01 - 300 ha";"Podgrzybek";4;"Detractors";1;0;0;1
1151;"dolnoslaskie";"100.01 - 300 ha";"Kozlarz";4;"Detractors";1;0;0;1
1151;"dolnoslaskie";"100.01 - 300 ha";"Maslak";9;"Promoters";0;0;1;1
1151;"dolnoslaskie";"100.01 - 300 ha";"Opienka";2;"Detractors";1;0;0;1
1151;"dolnoslaskie";"100.01 - 300 ha";"Golabek";9;"Promoters";0;0;1;1
1151;"dolnoslaskie";"100.01 - 300 ha";"Boczniak";9;"Promoters";0;0;1;1
1151;"dolnoslaskie";"100.01 - 300 ha";"Pieczarka";2;"Detractors";1;0;0;1
1154;"dolnoslaskie";"100.01 - 300 ha";"Borowik";9;"Promoters";0;0;1;1
1154;"dolnoslaskie";"100.01 - 300 ha";"Czubajka";3;"Detractors";1;0;0;1
1154;"dolnoslaskie";"100.01 - 300 ha";"Gaska";5;"Detractors";1;0;0;1
1154;"dolnoslaskie";"100.01 - 300 ha";"Podgrzybek";9;"Promoters";0;0;1;1
1154;"dolnoslaskie";"100.01 - 300 ha";"Kozlarz";6;"Detractors";1;0;0;1
1154;"dolnoslaskie";"100.01 - 300 ha";"Opienka";6;"Detractors";1;0;0;1
1154;"dolnoslaskie";"100.01 - 300 ha";"Golabek";10;"Promoters";0;0;1;1
1154;"dolnoslaskie";"100.01 - 300 ha";"Boczniak";10;"Promoters";0;0;1;1
1154;"dolnoslaskie";"100.01 - 300 ha";"Pieczarka";10;"Promoters";0;0;1;1
1159;"dolnoslaskie";"300.01 - 500 ha";"Borowik";9;"Promoters";0;0;1;1
1159;"dolnoslaskie";"300.01 - 500 ha";"Czubajka";3;"Detractors";1;0;0;1
1159;"dolnoslaskie";"300.01 - 500 ha";"Gaska";5;"Detractors";1;0;0;1
1159;"dolnoslaskie";"300.01 - 500 ha";"Kozlarz";9;"Promoters";0;0;1;1
1159;"dolnoslaskie";"300.01 - 500 ha";"Maslak";2;"Detractors";1;0;0;1
1159;"dolnoslaskie";"300.01 - 500 ha";"Opienka";8;"Neutrals";0;1;0;1
1159;"dolnoslaskie";"300.01 - 500 ha";"Golabek";4;"Detractors";1;0;0;1
1159;"dolnoslaskie";"300.01 - 500 ha";"Boczniak";7;"Neutrals";0;1;0;1
1159;"dolnoslaskie";"300.01 - 500 ha";"Pieczarka";8;"Neutrals";0;1;0;1
1167;"dolnoslaskie";"<= 50 ha";"Borowik";5;"Detractors";1;0;0;1
1167;"dolnoslaskie";"<= 50 ha";"Czubajka";4;"Detractors";1;0;0;1
1167;"dolnoslaskie";"<= 50 ha";"Gaska";10;"Promoters";0;0;1;1
1167;"dolnoslaskie";"<= 50 ha";"Podgrzybek";3;"Detractors";1;0;0;1
1167;"dolnoslaskie";"<= 50 ha";"Kozlarz";9;"Promoters";0;0;1;1
1167;"dolnoslaskie";"<= 50 ha";"Maslak";3;"Detractors";1;0;0;1
1167;"dolnoslaskie";"<= 50 ha";"Opienka";4;"Detractors";1;0;0;1
